Recrutement et Intelligence Artificielle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Détails de la soumission;;;;;;;;;Est-ce que vous utilisez ou avez-l'intention d'utiliser les IA génératives comme ChatGPT pour ...;;;;;Que pensez-vous de la facilité d'usage des IA ?;;;;Quelle crédibilité accordez-vous au recruteur quand il vous explique utiliser l'IA pour le recrutement...;;;;Dans quelle mesure acceptez-vous que votre recruteur utilise l'IA lors de ces différentes phases du recrutement;;;;;;Lors d'un éventuel recrutement où l'IA serait utilisée, quelle importance accordez-vous à ces sujets liés à son usage éthique ?;;;;;;;
Séquentiel;SID;Heure de soumission;Heure de complétion;Heure de modification;Brouillon;Adresse IP;UID;Nom d'utilisateur;Rédiger des CV ou des lettres de motivation;Améliorer votre profil LinkedIn;Préparer des entretiens d'embauche;Vous renseigner sur votre futur employeur;Répondre plus rapidement à une offre;ChatGPT et autres IA génératives (génération de texte ou d'images);Moteur de recherche (Chrome, Safari, Firefox);Application de navigation disponibles sur votre mobile ou dans votre voiture;Autres usages professionnels ou scientifiques;Pour sélectionner les meilleur•e•s candidat•e•s;Pour réduire le risque de discrimination;Pour un recrutement plus éthique;Pour diversifier les recrutements;Lors du tri initial des candidatures;Lors des tests de sélection;Lors des entretiens individuels;Lors de la discussion sur le périmètre de votre poste;Lors de la négociation sur votre rémunération et autres avantages;Lors de la rédaction de votre contrat de travail;Le respect de votre vie privée;L'empreinte carbone de l'IA utilisée;L'absence de toute discrimination;L'équité entre tous les candidats;Le respect de la diversité;Aimeriez-vous savoir si votre recruteur a prévu d'utiliser l'IA dans le processus de recrutement ?;Quelle est votre tranche d'âge?;Donnez votre avis sur une entreprise qui souhaiterait confier ses recrutements à une IA : 
3;25290150;11/01/2025 - 20:28;11/01/2025 - 20:28;11/01/2025 - 20:28;0;0.0.0.0;0;Anonymous;Plutôt opposé;Assez favorable;Totalement opposé;Plutôt opposé;Assez favorable;à l'aise;Plutôt à l'aise;Plutôt à l'aise;Plutôt à l'aise;Très faible;Faible;Faible;Ni faible, ni élevé;Ni réticent, ni favorable;Réticent;Très réticent;Favorable;Ni réticent, ni favorable;Favorable;C'est plutôt important;C'est important ou secondaire;C'est très important;C'est très important;C'est important ou secondaire;C'est important;25-34 ans;
4;25290276;11/01/2025 - 20:51;11/01/2025 - 20:51;11/01/2025 - 20:51;0;0.0.0.0;0;Anonymous;Totalement opposé;Plutôt opposé;Plutôt opposé;Ni favorable, ni opposé;Ni favorable, ni opposé;Plutôt à l'aise;à l'aise;Plutôt à l'aise;Plutôt à l'aise;Ni faible, ni élevé;Faible;Très faible;Faible;Ni réticent, ni favorable;Réticent;Très réticent;Réticent;Très réticent;Réticent;C'est plutôt important;;C'est très important;C'est très important;C'est très important;C'est essentiel;45-54 ans;
5;25290441;11/01/2025 - 21:18;11/01/2025 - 21:18;11/01/2025 - 21:18;0;0.0.0.0;0;Anonymous;Assez favorable;Tout à fait favorable;Tout à fait favorable;Plutôt opposé;Tout à fait favorable;Plutôt à l'aise;Plutôt à l'aise;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Très faible;Elevé;Très faible;Très faible;Réticent;Réticent;Réticent;Réticent;Réticent;Favorable;C'est très important;C'est plutôt secondaire;C'est plutôt important;C'est plutôt important;C'est plutôt important;C'est important;45-54 ans;
6;25291335;12/01/2025 - 03:53;12/01/2025 - 03:53;12/01/2025 - 03:53;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Plutôt à l'aise;à l'aise;à l'aise;à l'aise;Faible;Faible;Faible;Faible;Réticent;Ni réticent, ni favorable;Réticent;Très réticent;Très réticent;Ni réticent, ni favorable;C'est plutôt important;C'est plutôt secondaire;C'est plutôt important;C'est très important;C'est important ou secondaire;C'est essentiel;55-64 ans;
7;25291387;12/01/2025 - 06:52;12/01/2025 - 06:52;12/01/2025 - 06:52;0;0.0.0.0;0;Anonymous;Ni favorable, ni opposé;Plutôt opposé;Assez favorable;Ni favorable, ni opposé;Ni favorable, ni opposé;Quelques difficultés;En difficulté;En difficulté;Quelques difficultés;Ni faible, ni élevé;Ni faible, ni élevé;Ni faible, ni élevé;Ni faible, ni élevé;Réticent;Réticent;Très réticent;Très réticent;Réticent;Ni réticent, ni favorable;C'est très secondaire;;C'est très secondaire;C'est très secondaire;C'est très secondaire;C'est essentiel;55-64 ans;"Je connais très peu l'IA et dois me faire expliquer par ma fille les bienfaits de Chat GPT pour mes activités.
Je considère que l'IA est une aide permettant de donner une orientation générale ou d'effectuer du debroussaillage, le reste demeurant forcément à la discrétion de l'humain et en particulier pour du recrutement. 
Mes réponses sont peut être un peu déconcertantes et je suis prêt à un parler avec toi si ça peut t'aider dans tes recherches.
Seul un aixoïsss demeure supérieur à l'IA bien sûr.

"
8;25291456;12/01/2025 - 07:52;12/01/2025 - 07:52;12/01/2025 - 07:52;0;0.0.0.0;0;Anonymous;Assez favorable;Assez favorable;Assez favorable;Tout à fait favorable;Assez favorable;Ni aisance, ni difficultés;à l'aise;à l'aise;à l'aise;Faible;Faible;Faible;Faible;Réticent;Ni réticent, ni favorable;Ni réticent, ni favorable;Ni réticent, ni favorable;Réticent;Ni réticent, ni favorable;C'est très important;C'est très important;C'est plutôt important;C'est plutôt important;C'est plutôt important;C'est essentiel;55-64 ans;
9;25291533;12/01/2025 - 08:27;12/01/2025 - 08:27;12/01/2025 - 08:27;0;0.0.0.0;0;Anonymous;Assez favorable;Assez favorable;Ni favorable, ni opposé;Assez favorable;Assez favorable;Plutôt à l'aise;à l'aise;à l'aise;Plutôt à l'aise;Ni faible, ni élevé;Ni faible, ni élevé;Ni faible, ni élevé;Ni faible, ni élevé;Réticent;Ni réticent, ni favorable;Ni réticent, ni favorable;Réticent;Très réticent;Très réticent;C'est plutôt important;C'est plutôt important;C'est plutôt important;C'est très important;C'est plutôt important;C'est important;25-34 ans;
10;25291545;12/01/2025 - 08:30;12/01/2025 - 08:30;12/01/2025 - 08:30;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;Tout à fait favorable;à l'aise;à l'aise;à l'aise;à l'aise;Faible;Faible;Faible;Faible;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;C'est très important;C'est très secondaire;C'est très important;C'est très important;C'est très secondaire;C'est essentiel;55-64 ans;Elle ne vaut pas un clou
11;25291576;12/01/2025 - 08:37;12/01/2025 - 08:37;12/01/2025 - 08:37;0;0.0.0.0;0;Anonymous;Totalement opposé;Totalement opposé;Totalement opposé;Assez favorable;Totalement opposé;Plutôt à l'aise;Plutôt à l'aise;Plutôt à l'aise;Plutôt à l'aise;Très faible;Très faible;Très faible;Très faible;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;C'est très important;C'est très secondaire;C'est très secondaire;C'est très secondaire;C'est très secondaire;C'est essentiel;55-64 ans;Cela caractérise le niveau de servilité du recruteur et donc l'éthique de responsabilité de la direction. Grunal, Aix 80-84
12;25291608;12/01/2025 - 08:47;12/01/2025 - 08:47;12/01/2025 - 08:47;0;0.0.0.0;0;Anonymous;Assez favorable;Tout à fait favorable;Ni favorable, ni opposé;Tout à fait favorable;Assez favorable;Ni aisance, ni difficultés;Plutôt à l'aise;Plutôt à l'aise;Plutôt à l'aise;Faible;Très faible;Très faible;Faible;Ni réticent, ni favorable;Très réticent;Réticent;Ni réticent, ni favorable;Très réticent;Favorable;C'est très important;C'est plutôt secondaire;C'est plutôt important;C'est très important;C'est important ou secondaire;C'est important;55-64 ans;
